episode,timestep,reward   update_timestep 4 * max_ep_len -> max_ep_len, K_epochs 200 -> 80

1,4000,[-4977.0555 -1458.1451  -474.6432 -4762.5636 -4734.5246] <- saved best model
2,8000,[ 1217.7146   992.225  -3125.293  -4223.3834 -3686.2078] <- saved best model
4,12000,[-1083.6072   -77.0069  -966.4417 -3838.9228 -3989.7442]
5,16000,[ 3417.8232  1789.6236  -470.2372 -3195.4479 -3953.4882] <- saved best model
8,20000,[ -695.344    -43.7478 -1342.1238 -2920.2068 -3943.0971]
10,24000,[  778.0817 -2131.8117 -1839.7526 -2842.2703 -3726.6699]
12,28000,[  599.8235  -367.7741  -889.876  -2951.1443 -3970.6508]
14,32000,[-1387.3262  -576.5867 -2786.8703 -3063.4419 -4239.9742]
16,36000,[ 1163.3912 -1653.6439 -2443.2556 -2942.3345 -3703.2632]
19,40000,[ -141.2906 -1165.2444 -1664.4301 -3160.092  -3685.9951]
21,44000,[  682.8204   -21.3091 -2591.2342 -2835.8994 -3841.8522]
23,48000,[ 1.5845576e+03  4.4610000e-01 -1.9061384e+03 -2.8614443e+03
 -4.3780880e+03]
25,52000,[-1234.629   -132.9573 -1009.4263 -2902.778  -4189.3145]
27,56000,[-1274.8475    -7.3078 -2036.5422 -2883.5868 -3761.3475]
29,60000,[ 1643.484  -1398.48   -2863.5073 -3049.0385 -3811.3433]
31,64000,[ 1450.6885   362.2609 -1065.5498 -2356.1041 -3811.3989]
33,68000,[  963.4855 -1367.8414 -1218.8451 -2824.6741 -3603.2179]
34,72000,[ 2606.3144  1055.2748 -2953.1459 -2587.263  -3509.6209]
37,76000,[-3183.3127 -1046.6315 -1794.2999 -3150.7587 -3798.7637]
38,80000,[ -674.4212 -1240.4247 -1824.4483 -3219.6886 -3677.1762]
41,84000,[ -419.575    286.1546 -2036.9897 -2764.5476 -3923.9241]
42,88000,[ 1810.0939  2100.1579 -1021.7247 -2789.4519 -3615.6166]
43,92000,[-1665.449   1450.0169  -666.6426 -2962.1067 -3808.5588]
45,96000,[ -659.3919 -1795.1284  -983.7147 -2271.7567 -3595.3034]
47,100000,[ -421.3276   380.6672 -3701.6758 -3108.7442 -3978.2678]
48,104000,[-4049.974   1206.1308 -3382.6373 -4360.3496 -3152.8648]
50,108000,[  212.1891   129.5696 -1955.3949 -2923.3766 -4117.8775]
51,112000,[ 6496.0752   976.5557 -1263.8918 -2587.4645 -3838.6745] <- saved best model
52,116000,[ 2064.3775 -2064.7476  -354.5416 -3211.6195 -3664.5732]
54,120000,[ -733.2294  1059.964   -710.6215 -3245.5528 -3701.7615]
55,124000,[ 2215.4272  -483.7775   236.1238 -2062.7018 -3905.9022]
56,128000,[  964.2296 -1945.3705  -143.9441 -3102.2656 -3647.4034]
57,132000,[ 4723.6026   825.3845  -613.4199 -1353.2915 -3747.3268] <- saved best model
59,136000,[ 4086.2111 -1334.9436 -2235.8532 -2310.4644 -3896.4455]
60,140000,[ 9348.9432 -2030.1347  -518.4881 -2877.5883 -3526.4597] <- saved best model
61,144000,[ 2418.6087 -1063.0653 -2963.7046 -1919.0278 -3755.0155]
62,148000,[ 6082.9078 -4999.867  -3078.1845 -2606.0865 -4481.5369]
